Stat Nr;Stat;Specialize0;Support0;Generalize0;Attack0;Specialize1;Support1;Generalize1;Attack1;Specialize2;Support2;Generalize2;Attack2;Specialize3;Support3;Generalize3;Attack3;L = 0;R = 0;L = 1;R = 1;L = 2;R = 2;L = 3;R = 3;L = 4;R = 4;L = 5;R = 5;L = 6;R = 6;L = 7;R = 7;L = 8;R = 8;L = 9;R = 9;L = 10;R = 10;L = 11;R = 11;L = 12;R = 12;L = 13;R = 13;L = 14;R = 14;L = 15;R = 15;L = 16;R = 16;L = 17;R = 17;L = 18;R = 18;L = 19;R = 19;L = 20;R = 20;L = 21;R = 21;L = 22;R = 22;L = 23;R = 23;L = 24;R = 24;L = 25;R = 25;L = 26;R = 26;L = 27;R = 27;L = 28;R = 28;L = 29;R = 29;L = 30;R = 30;L = 31;R = 31;L = 32;R = 32;L = 33;R = 33;L = 34;R = 34;L = 35;R = 35;L = 36;R = 36;L = 37;R = 37;L = 38;R = 38;L = 39;R = 39;L = 40;R = 40;L = 41;R = 41;L = 42;R = 42;L = 43;R = 43;L = 44;R = 44;L = 45;R = 45;L = 46;R = 46;L = 47;R = 47;Tot Gen;Tot Retr
116;Terrorists not rational;1;7;1;34;6;53;13;94;75;55;0;148;0;66;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;607;0
117;Threat _ continuous;1;4;0;11;0;2;0;15;0;3;0;10;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0
118;Attack _ telegenic;1;4;0;6;0;1;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0
119;RichPeople _ exploiting;1;5;5;26;39;18;0;73;15;67;0;69;0;55;0;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402;1

From;Rel;To;Pos Score;Neg Score;Hit Score;Miss Score
can not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;not;1,0;-347,8391053391015;4;-2045
Violence;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Terrorists;1,3916666666666668;-1467,9362914862922;7;-9049
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;must not;2,1107142857142858;-572,6594155844159;9;-2785
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;must;2,4166666666666665;-476,0669191919224;4;-2663
Television;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;NormalPeople;2,654761904761904;-730,7252164501942;15;-5148
not enough;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;too much;0,0;0,0;0;0
Leadership;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Government;0,0;-205,40818903318734;0;-1243
never;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;once;0,125;-1244,4870851370488;1;-7733
Terrorists;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Fundamentalists;2,6658730158730157;-1528,8577200576306;18;-11079
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;always;5,066666666666668;-1202,513167388161;20;-5627
always;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not;5,0428571428571445;-236,98813131312988;21;-1444
People;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;Americans;2,527380952380952;-800,5160894660733;11;-4883
attentive;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;open;0,0;-673,8418470418474;0;-4213
not worst;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;worst;0,0;0,0;0;0
Peace;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Hate;0,0;-446,89642857143065;0;-2408
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not;24,491666666666664;-1548,9608946608607;73;-9566
threatened;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;revenging;0,8916666666666666;-736,4816378066245;5;-4726
never;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;can;0,0;-351,8093073593076;0;-2337
controlling;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;attentive;2,8797619047619043;-1048,8172438672;15;-6983
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;best;1,6833333333333331;-1774,3274170274028;7;-9247
Economic Aid;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;War;4,8500000000000005;-114,87619047619116;12;-600
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;never;2,852777777777778;-1738,8838383837983;8;-10816
Diplomacy;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;War;7,8166666666666655;-127,9388888888897;15;-648
Diplomacy;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Military Actions;1,0;-29,335317460317448;2;-157
must not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;always;0,14285714285714285;-163,20519480519408;1;-1101
once;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;possibly;0,625;-314,7674603174594;2;-2049
can;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;can not;0,5277777777777778;-250,9676046176026;3;-1424
threatened;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;frustrated;2,521428571428571;-876,3488095238067;16;-5291
best;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not;1,6833333333333331;-132,3815656565658;7;-768
Groundforces;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Bombing;6,933333333333334;-145,99206349206298;19;-746
Government;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Politicians;0,25;-76,62182539682553;1;-366
threatened;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;attacked;2,4583333333333335;-693,2106782106708;7;-4336
Society;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;AmericanSociety;0,0;-78,60476190476221;0;-401
more;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;less;0,0;-9,69880952380952;0;-37
NormalPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;RichPeople;0,0;-81,69166666666682;0;-353
always;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;can not;0,869047619047619;-281,21305916305676;5;-1706
Peace;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;War;0,0;-170,79523809523673;0;-834
Muslims;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;People;2,299206349206349;-1393,859740259672;16;-10211
War;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;Bombing;23,90238095238095;-703,8238095238066;68;-3684
not best;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;best;0,0;-330,8149711399715;0;-2118
Victims;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Casualties;1,202777777777778;-560,3819624819652;7;-3781
Enemies;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Terrorists;0,0;-86,52658730158699;0;-467
frustrated;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;desperate;2,5857142857142854;-418,26208513708536;12;-2643
always;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;never;0,25;-271,9540404040392;1;-1788
must not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;not;0,0;-114,04523809523842;0;-518
Bombing;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;War;23,849999999999987;-709,2365440115346;64;-3831
RichPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Oligarchy;1,0;-351,3516594516589;1;-2261
exceptional;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;normal;0,0;-76,78333333333336;0;-356
Bin Laden;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Bush;0,0;-46,35277777777789;0;-237
Enemies;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Friends;0,0;-401,9713203463218;0;-2773
secure;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;attentive;0,4583333333333333;-192,89642857142687;3;-787
controlling;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;accidental;0,2111111111111111;-537,8676406926404;2;-3535
attacked;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;threatened;2,4583333333333335;-300,0107142857155;7;-1461
desperate;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;frustrated;2,5857142857142854;-903,5227272726903;12;-6236
Casualties;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Victims;1,3694444444444447;-523,895129870135;8;-3599
AmericanMedia;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;ForeignMedia;0,0;-335,15779220779234;0;-2128
threatened;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;fearful;5,30357142857143;-1682,8697330447158;24;-10991
Terrorists;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Enemies;0,0;-891,1057359307256;0;-5736
NormalPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;People;3,7904761904761894;-1238,348629148567;21;-8778
People;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;RichPeople;0,0;-1207,7625541125008;0;-7530
Military Actions;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;War;11,616666666666667;-313,53077200577394;30;-1764
People;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;NormalPeople;3,5682539682539676;-2331,39209956729;21;-15227
once;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;never;0,125;-136,7661616161622;1;-793
can not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;can;0,1;-263,0652597402561;1;-1526
Military Actions;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Diplomacy;2,4;-113,03867243867266;8;-610
War;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Peace;0,0;-856,0858225108177;0;-4476
attentive;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;controlling;2,890873015873016;-935,406926406894;15;-5993
can;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;_;0,0;-62,36158008658019;0;-364
not only;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;only;12,877380952380951;-242,55674603174353;35;-1359
RichPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;People;0,0;-164,8174603174593;0;-882
least;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;most;0,0;0,0;0;0
Bush;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Politicians;0,25;-161,19682539682435;1;-815
threatened;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;threatening;0,0;-789,2541847041788;0;-5023
Bush;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Bin Laden;0,0;-281,30937950937914;0;-1894
People;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;I;4,932142857142859;-445,3313131313124;22;-2545
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;can;0,16666666666666666;-1465,3575757575843;1;-7160
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not best;0,0;-747,1264790764731;0;-3991
War;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;Violence;1,6749999999999998;-2036,4200216450697;8;-11729
less;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;more;0,0;0,0;0;0
War;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Military Actions;12,616666666666665;-490,0602092352095;36;-2461
War;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Diplomacy;6,083333333333333;-316,98066378066295;9;-1639
useless;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;waste;4,783333333333336;-110,30198412698427;17;-604
open;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;attentive;0,0;-138,6904761904766;0;-700
accidental;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;controlling;0,2111111111111111;-206,9481962481954;2;-1496
Hate;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Peace;0,0;-60,600793650793726;0;-348
Poverty;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Wealth;0,0;-13,900000000000002;0;-34
NormalPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Politicians;2,0166666666666666;-1110,290007214986;10;-7089
Terrorists;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Violence;1,6833333333333333;-1539,247077922007;9;-10348
many;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;isolated;0,7;-180,30714285714325;2;-1107
never;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;_;3,741666666666667;-118,68953823953848;15;-758
exceptional;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;continuous;0,0;-77,09444444444443;0;-356
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;must not;1,1428571428571428;-714,9300144300115;3;-4099
_;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;must;0,75;-737,0704545454552;2;-3168
Violence;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Culprits;0,0;-705,7246031745985;0;-4001
Problem;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Solution;0,0;0,0;0;0
hopefully;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;possibly;0,5;-441,10227272727604;1;-2823
Television;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;AmericanMedia;2,6547619047619047;-549,7570346320339;15;-3694
not best;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;not;0,0;0,0;0;0
too much;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not enough;0,0;-1,0;0;-1
best;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not best;0,0;-175,22489177489126;0;-973
NormalPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Oligarchy;0,0;-208,93676046175852;0;-1218
normal;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;exceptional;0,0;-11,566666666666663;0;-33
Bombing;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Economic Aid;2,1666666666666665;-120,51785714285748;8;-569
Politicians;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Bush;0,25;-627,5697330447312;1;-4092
must not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;must;1,125;-210,22878787878662;2;-1303
Americans;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;People;2,1273809523809524;-867,2436868686988;11;-5598
Innocents;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Culprits;0,0;0,0;0;0
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;always;0,47619047619047616;-500,5526334776354;3;-3108
RichPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;BlackPeople;0,0;-445,4391414141459;0;-2811
Leadership;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Oligarchy;0,0;-68,67619047619051;0;-308
fearful;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;attentive;4,525000000000001;-2119,4805194805613;24;-13851
can not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;always;0,7857142857142856;-234,3490620490622;5;-1564
Government;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Leadership;0,0;-38,343650793650816;0;-171
BlackPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;RichPeople;0,0;-64,682142857143;0;-311
I;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;People;5,098809523809525;-1734,5691197691415;22;-10931
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;can not;0,5;-761,5093434343355;2;-3854
worst;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not worst;0,0;-656,4352092352086;0;-4426
Americans;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;European;0,0;-471,19628427128856;0;-2824
always;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;must not;0,14285714285714285;-166,52233044733023;1;-961
People;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;Muslims;2,424206349206349;-2147,712987012896;17;-15418
AmericanSociety;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;Society;0,0;-6,949999999999998;0;-17
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;never;6,333333333333333;-1559,0434704184977;20;-8614
Violence;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;War;2,1833333333333336;-1086,6019480519249;10;-7265
same;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not same;0,0;-61,55079365079381;0;-317
Distruction;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Casualties;0,125;-53,03134920634942;1;-282
most;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;least;0,0;0,0;0;0
waste;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;useless;4,769047619047621;-811,2786075036028;17;-4546
CurrentWorld;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;World;2,0;-102,78333333333367;4;-498
attentive;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;secure;0,4583333333333333;-667,6970057720057;3;-4207
Politicians;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;NormalPeople;2,0166666666666666;-607,208080808086;10;-3793
frustrated;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;threatened;2,5214285714285714;-1153,2078282827515;16;-8217
ForeignMedia;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;AmericanMedia;0,0;-31,253571428571437;0;-163
Casualties;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Distruction;0,125;-216,58769841269677;1;-1313
World;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;CurrentWorld;2,0;-110,6190476190479;4;-474
Victims;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Terrorists;3,3051587301587304;-997,0295815295535;16;-7024
not best;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;_;10,43333333333333;-57,47777777777787;38;-316
NormalPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Americans;0,1;-147,19484126984094;1;-695
Terrorists;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Victims;3,1384920634920634;-1045,8806998556736;15;-7076
isolated;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;many;0,7;-141,74300144300202;2;-924
hopefully;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;never;0,1;-184,8346681096671;1;-1313
War;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Economic Aid;3,8333333333333335;-293,75129870129854;9;-1565
can;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;hopefully;0,1;-479,1152958152984;1;-2539
limited;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;isolated;0,3666666666666667;-127,40952380952339;2;-856
not same;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;same;0,0;0,0;0;0
isolated;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;limited;0,3666666666666667;-171,57784992785065;2;-1100
worst;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;best;0,0;0,0;0;0
must;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;_;0,9583333333333333;-249,91554834054588;3;-1306
Friends;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Enemies;0,0;0,0;0;0
Leadership;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;NormalPeople;0,0;-65,15436507936522;0;-282
Fundamentalists;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Terrorists;2,7908730158730153;-1792,194733044584;19;-13317
possibly;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;hopefully;0,5;-48,23531746031749;1;-195
never;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;not;4,8500000000000005;-232,51626984126742;13;-1426
hopefully;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;can;0,3611111111111111;-151,72095959595973;2;-852
effective;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;waste;9,869047619047619;-1702,2365440115802;33;-8895
attentive;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;caring;1,5166666666666666;-593,868939393942;8;-3656
Oligarchy;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Leadership;0,0;-95,28650793650819;0;-609
Muslims;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#specialization;Fundamentalists;2,424206349206349;-1882,7181457429906;17;-14031
only;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not only;13,524999999999995;-747,0045454545367;35;-4711
always;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;_;0,16666666666666666;-10,644047619047623;1;-70
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;_;13,216666666666663;-492,9863997114023;46;-3065
can;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;never;0,0;-215,97016594516433;0;-1287
Americans;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;NormalPeople;0,3333333333333333;-138,82936507936546;1;-597
Culprits;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Innocents;0,0;-307,662698412698;0;-1904
threatening;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;threatened;0,0;0,0;0;0
Terrorism;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Hate;0,0;-75,43412698412699;0;-382
possibly;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;once;0,625;-121,47687590187607;2;-704
best;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;worst;0,0;-1600,793903318858;0;-10084
only;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;not;23,110714285714284;-522,5587301587349;59;-2864
must;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;must not;1,0;-152,0773088023088;1;-802
Wealth;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Poverty;0,0;-52,77380952380954;0;-240
best;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;_;0,0;0,0;0;0
Economic Aid;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Bombing;2,5833333333333335;-22,569047619047616;5;-87
fearful;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;threatened;5,428571428571429;-1691,2356421355457;25;-11181
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;best;0,0;-1056,0336219336018;0;-6657
Oligarchy;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;RichPeople;1,0;-93,10039682539711;1;-492
caring;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;attentive;1,516666666666667;-545,6251443001568;8;-3407
Oligarchy;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;NormalPeople;0,0;-32,76666666666665;0;-129
NormalPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Leadership;0,0;-539,3604256854298;0;-3270
waste;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;effective;10,566666666666663;-122,24880952380981;33;-632
obsessive;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;attentive;1,6607142857142856;-395,77723665222715;8;-2638
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;not best;10,43333333333333;-722,5105339105271;38;-3702
continuous;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;exceptional;0,0;-11,816666666666663;0;-33
Bombing;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Groundforces;7,283333333333333;-337,27698412698186;20;-1781
RichPeople;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;NormalPeople;0,0;-14,935714285714274;0;-58
Culprits;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Violence;0,0;0,0;0;0
Hate;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#similar;Terrorism;0,0;-172,33809523809424;0;-979
must not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;_;3,128571428571428;-88,25010822510843;11;-510
Solution;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;Problem;0,0;0,0;0;0
never;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;hopefully;0,4444444444444444;-946,1275613275423;2;-6096
Fundamentalists;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#generalization;Muslims;2,299206349206349;-1490,0478715727754;16;-11128
not;http://www,cwi,nl/~media/ns/VP/VoxPopuli,rdfs#opposite;only;24,525000000000006;-1740,5285353535232;59;-10319
